t,state,x,y,z,qw,qx,qy,qz,vx,vy,vz,fx,fy,fz
8.595,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.695,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.795,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
8.895,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.995,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.095,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.195,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.295,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.395,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
9.495,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.595,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.695,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.795,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
9.895,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.995,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
10.095,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.195,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.295,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
10.395,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.495,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.595,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.695,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.795,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.895,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.995,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.095,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.195,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
